"summary","score","domain_name","domain_key","trend","confidence","next_action","protective_factors","data_sources","limiting_factors","id","created_date","updated_date","created_by_id","is_sample"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","47","Learning Capacity","learning_capacity","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7c3e0b73706c99623f637b","2026-08-12T09:34:03.451000","2026-08-12T09:34:03.451000","6a7c3c86776e4c7809b327a8","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","61","Focus","focus","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7bb289f45e064bc9fbcec0","2026-08-11T23:38:49.429000","2026-08-11T23:38:49.429000","6a7bb074ffcef7f9421063b4","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","39","Memory","memory","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7bb289f45e064bc9fbcec1","2026-08-11T23:38:49.429000","2026-08-11T23:38:49.429000","6a7bb074ffcef7f9421063b4","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","65","Mental Energy","mental_energy","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a7bb289f45e064bc9fbcec2","2026-08-11T23:38:49.429000","2026-08-11T23:38:49.429000","6a7bb074ffcef7f9421063b4","false"
"AQLA identified this domain as your primary performance bottleneck based on your assessment.","37","Stress Regulation","stress_regulation","stable","moderate","Follow your FLOW protocol for 14 days","[]","[""Onboarding assessment""]","[""Late caffeine exposure"",""Evening screen use before bed"",""Frequent mental overload""]","6a7bb289f45e064bc9fbcec3","2026-08-11T23:38:49.429000","2026-08-11T23:38:49.429000","6a7bb074ffcef7f9421063b4","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","49","Sleep Recovery","sleep_recovery","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7bb289f45e064bc9fbcec4","2026-08-11T23:38:49.429000","2026-08-11T23:38:49.429000","6a7bb074ffcef7f9421063b4","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","57","Cognitive Resilience","cognitive_resilience","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7bb289f45e064bc9fbcec5","2026-08-11T23:38:49.429000","2026-08-11T23:38:49.429000","6a7bb074ffcef7f9421063b4","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","58","Lifestyle Protection","lifestyle_protection","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a7bb289f45e064bc9fbcec6","2026-08-11T23:38:49.429000","2026-08-11T23:38:49.429000","6a7bb074ffcef7f9421063b4","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","67","Learning Capacity","learning_capacity","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a7bb289f45e064bc9fbcec7","2026-08-11T23:38:49.429000","2026-08-11T23:38:49.429000","6a7bb074ffcef7f9421063b4","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","46","Learning Capacity","learning_capacity","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a749b9864b1e8ca3d0099fb","2026-08-06T14:35:04.138000","2026-08-06T14:35:04.138000","6a749aa6ddfc00140158eff3","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","38","Focus","focus","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a749b9864b1e8ca3d0099f4","2026-08-06T14:35:04.137000","2026-08-06T14:35:04.137000","6a749aa6ddfc00140158eff3","false"
"AQLA identified this domain as your primary performance bottleneck based on your assessment.","31","Memory","memory","stable","moderate","Follow your RESET protocol for 14 days","[]","[""Onboarding assessment""]","[""Irregular sleep timing"",""Low morning light exposure"",""Late caffeine exposure""]","6a749b9864b1e8ca3d0099f5","2026-08-06T14:35:04.137000","2026-08-06T14:35:04.137000","6a749aa6ddfc00140158eff3","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","55","Mental Energy","mental_energy","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a749b9864b1e8ca3d0099f6","2026-08-06T14:35:04.137000","2026-08-06T14:35:04.137000","6a749aa6ddfc00140158eff3","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","33","Stress Regulation","stress_regulation","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a749b9864b1e8ca3d0099f7","2026-08-06T14:35:04.137000","2026-08-06T14:35:04.137000","6a749aa6ddfc00140158eff3","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","49","Sleep Recovery","sleep_recovery","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a749b9864b1e8ca3d0099f8","2026-08-06T14:35:04.137000","2026-08-06T14:35:04.137000","6a749aa6ddfc00140158eff3","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","46","Cognitive Resilience","cognitive_resilience","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a749b9864b1e8ca3d0099f9","2026-08-06T14:35:04.137000","2026-08-06T14:35:04.137000","6a749aa6ddfc00140158eff3","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","53","Lifestyle Protection","lifestyle_protection","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a749b9864b1e8ca3d0099fa","2026-08-06T14:35:04.137000","2026-08-06T14:35:04.137000","6a749aa6ddfc00140158eff3","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","75","Learning Capacity","learning_capacity","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a6b21340adffe87dcf162fa","2026-07-30T10:02:28.788000","2026-07-30T10:02:28.788000","6a670dff96c46b62aaca0b7e","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","52","Mental Energy","mental_energy","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6b21340adffe87dcf162f5","2026-07-30T10:02:28.788000","2026-07-30T10:02:28.788000","6a670dff96c46b62aaca0b7e","false"
"AQLA identified this domain as your primary performance bottleneck based on your assessment.","50","Stress Regulation","stress_regulation","stable","moderate","Follow your FLOW protocol for 14 days","[]","[""Onboarding assessment""]","[""Irregular sleep timing"",""Low morning light exposure"",""Late caffeine exposure""]","6a6b21340adffe87dcf162f6","2026-07-30T10:02:28.788000","2026-07-30T10:02:28.788000","6a670dff96c46b62aaca0b7e","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","60","Lifestyle Protection","lifestyle_protection","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6b21340adffe87dcf162f9","2026-07-30T10:02:28.788000","2026-07-30T10:02:28.788000","6a670dff96c46b62aaca0b7e","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","50","Cognitive Resilience","cognitive_resilience","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6b21340adffe87dcf162f8","2026-07-30T10:02:28.788000","2026-07-30T10:02:28.788000","6a670dff96c46b62aaca0b7e","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","69","Sleep Recovery","sleep_recovery","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a6b21340adffe87dcf162f7","2026-07-30T10:02:28.788000","2026-07-30T10:02:28.788000","6a670dff96c46b62aaca0b7e","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","56","Memory","memory","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6b21340adffe87dcf162f4","2026-07-30T10:02:28.788000","2026-07-30T10:02:28.788000","6a670dff96c46b62aaca0b7e","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","70","Focus","focus","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a6b21340adffe87dcf162f3","2026-07-30T10:02:28.787000","2026-07-30T10:02:28.788000","6a670dff96c46b62aaca0b7e","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","48","Memory","memory","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6a59a38036b6cb13d2848d","2026-07-29T19:50:59.064000","2026-07-29T19:50:59.064000","6a69887fc6fa71d2a566d297","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","48","Learning Capacity","learning_capacity","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6a59a38036b6cb13d28493","2026-07-29T19:50:59.064000","2026-07-29T19:50:59.064000","6a69887fc6fa71d2a566d297","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","59","Mental Energy","mental_energy","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6a59a38036b6cb13d2848e","2026-07-29T19:50:59.064000","2026-07-29T19:50:59.064000","6a69887fc6fa71d2a566d297","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","60","Sleep Recovery","sleep_recovery","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6a59a38036b6cb13d28490","2026-07-29T19:50:59.064000","2026-07-29T19:50:59.064000","6a69887fc6fa71d2a566d297","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","49","Cognitive Resilience","cognitive_resilience","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6a59a38036b6cb13d28491","2026-07-29T19:50:59.064000","2026-07-29T19:50:59.064000","6a69887fc6fa71d2a566d297","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","63","Lifestyle Protection","lifestyle_protection","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6a59a38036b6cb13d28492","2026-07-29T19:50:59.064000","2026-07-29T19:50:59.064000","6a69887fc6fa71d2a566d297","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","45","Focus","focus","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6a59a38036b6cb13d2848c","2026-07-29T19:50:59.064000","2026-07-29T19:50:59.064000","6a69887fc6fa71d2a566d297","false"
"AQLA identified this domain as your primary performance bottleneck based on your assessment.","33","Stress Regulation","stress_regulation","stable","moderate","Follow your FLOW protocol for 14 days","[]","[""Onboarding assessment""]","[""Irregular sleep timing"",""Low morning light exposure"",""Late caffeine exposure""]","6a6a59a38036b6cb13d2848f","2026-07-29T19:50:59.064000","2026-07-29T19:50:59.064000","6a69887fc6fa71d2a566d297","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","69","Focus","focus","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a6906fa36adccbca89e3512","2026-07-28T19:46:02.299000","2026-07-28T19:46:02.299000","6a69068592703d05559d1ac5","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","61","Memory","memory","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6906fa36adccbca89e3513","2026-07-28T19:46:02.299000","2026-07-28T19:46:02.299000","6a69068592703d05559d1ac5","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","65","Mental Energy","mental_energy","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a6906fa36adccbca89e3514","2026-07-28T19:46:02.299000","2026-07-28T19:46:02.299000","6a69068592703d05559d1ac5","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","50","Stress Regulation","stress_regulation","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6906fa36adccbca89e3515","2026-07-28T19:46:02.299000","2026-07-28T19:46:02.299000","6a69068592703d05559d1ac5","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","64","Sleep Recovery","sleep_recovery","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6906fa36adccbca89e3516","2026-07-28T19:46:02.299000","2026-07-28T19:46:02.299000","6a69068592703d05559d1ac5","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","48","Cognitive Resilience","cognitive_resilience","stable","moderate","Continue daily check-ins to refine this score","[]","[""Onboarding assessment""]","[]","6a6906fa36adccbca89e3517","2026-07-28T19:46:02.299000","2026-07-28T19:46:02.299000","6a69068592703d05559d1ac5","false"
"AQLA identified this domain as your primary performance bottleneck based on your assessment.","45","Lifestyle Protection","lifestyle_protection","stable","moderate","Follow your RESET protocol for 14 days","[]","[""Onboarding assessment""]","[""Irregular sleep timing"",""Low morning light exposure"",""Late caffeine exposure""]","6a6906fa36adccbca89e3518","2026-07-28T19:46:02.299000","2026-07-28T19:46:02.299000","6a69068592703d05559d1ac5","false"
"Derived from your assessment responses. Confidence will improve with daily check-ins.","77","Learning Capacity","learning_capacity","stable","moderate","Continue daily check-ins to refine this score","[""Consistent self-reported patterns in this domain""]","[""Onboarding assessment""]","[]","6a6906fa36adccbca89e3519","2026-07-28T19:46:02.299000","2026-07-28T19:46:02.299000","6a69068592703d05559d1ac5","false"
