id,created_by_base44,domain_key,domain_name,score,confidence,trend,summary,limiting_factors,protective_factors,next_action,data_sources,created_at,updated_at,legacy_base44_user_id,created_by_user_uuid,created_by_id
00000000-6a6a-59a3-8036-b6cb13d28493,,learning_capacity,Learning Capacity,48,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-887f-c6fa-71d2a566d297
00000000-6a6a-59a3-8036-b6cb13d2848e,,mental_energy,Mental Energy,59,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-887f-c6fa-71d2a566d297
00000000-6a6a-59a3-8036-b6cb13d28490,,sleep_recovery,Sleep Recovery,60,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-887f-c6fa-71d2a566d297
00000000-6a7f-254d-7ff6-81af92e334f4,,learning_capacity,Learning Capacity,48,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-9112-2a05-e655a342fc18
00000000-6a7f-254d-7ff6-81af92e334ed,,focus,Focus,44,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-9112-2a05-e655a342fc18
00000000-6a7f-254d-7ff6-81af92e334ee,,memory,Memory,49,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-9112-2a05-e655a342fc18
00000000-6a7f-254d-7ff6-81af92e334ef,,mental_energy,Mental Energy,60,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-9112-2a05-e655a342fc18
00000000-6a7f-254d-7ff6-81af92e334f0,,stress_regulation,Stress Regulation,33,moderate,stable,AQLA identified this domain as your primary performance bottleneck based on your assessment.,"[""Evening screen use before bed"", ""Frequent mental overload""]",[],Follow your FLOW protocol for 14 days,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-9112-2a05-e655a342fc18
00000000-6a7f-254d-7ff6-81af92e334f1,,sleep_recovery,Sleep Recovery,55,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-9112-2a05-e655a342fc18
00000000-6a7f-254d-7ff6-81af92e334f2,,cognitive_resilience,Cognitive Resilience,58,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-9112-2a05-e655a342fc18
00000000-6a7f-254d-7ff6-81af92e334f3,,lifestyle_protection,Lifestyle Protection,65,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-9112-2a05-e655a342fc18
00000000-6a7c-3e0b-7370-6c99623f6374,,focus,Focus,48,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-3c86-776e-4c7809b327a8
00000000-6a7c-3e0b-7370-6c99623f6375,,memory,Memory,64,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-3c86-776e-4c7809b327a8
00000000-6a7b-b289-f45e-064bc9fbcec6,,lifestyle_protection,Lifestyle Protection,58,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a7b-b074-ffce-f7f9421063b4
00000000-6a7b-b289-f45e-064bc9fbcec7,,learning_capacity,Learning Capacity,67,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a7b-b074-ffce-f7f9421063b4
00000000-6a74-9b98-64b1-e8ca3d0099fb,,learning_capacity,Learning Capacity,46,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a74-9aa6-ddfc-00140158eff3
00000000-6a74-9b98-64b1-e8ca3d0099f4,,focus,Focus,38,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a74-9aa6-ddfc-00140158eff3
00000000-6a74-9b98-64b1-e8ca3d0099f5,,memory,Memory,31,moderate,stable,AQLA identified this domain as your primary performance bottleneck based on your assessment.,"[""Irregular sleep timing"", ""Low morning light exposure"", ""Late caffeine exposure""]",[],Follow your RESET protocol for 14 days,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a74-9aa6-ddfc-00140158eff3
00000000-6a74-9b98-64b1-e8ca3d0099f6,,mental_energy,Mental Energy,55,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a74-9aa6-ddfc-00140158eff3
00000000-6a74-9b98-64b1-e8ca3d0099f7,,stress_regulation,Stress Regulation,33,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a74-9aa6-ddfc-00140158eff3
00000000-6a74-9b98-64b1-e8ca3d0099f8,,sleep_recovery,Sleep Recovery,49,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a74-9aa6-ddfc-00140158eff3
00000000-6a74-9b98-64b1-e8ca3d0099f9,,cognitive_resilience,Cognitive Resilience,46,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a74-9aa6-ddfc-00140158eff3
00000000-6a74-9b98-64b1-e8ca3d0099fa,,lifestyle_protection,Lifestyle Protection,53,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a74-9aa6-ddfc-00140158eff3
00000000-6a6b-2134-0adf-fe87dcf162fa,,learning_capacity,Learning Capacity,75,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a67-0dff-96c4-6b62aaca0b7e
00000000-6a7c-3e0b-7370-6c99623f6376,,mental_energy,Mental Energy,67,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-3c86-776e-4c7809b327a8
00000000-6a7c-3e0b-7370-6c99623f6377,,stress_regulation,Stress Regulation,40,moderate,stable,AQLA identified this domain as your primary performance bottleneck based on your assessment.,"[""Frequent mental overload""]",[],Follow your FLOW protocol for 14 days,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-3c86-776e-4c7809b327a8
00000000-6a6a-59a3-8036-b6cb13d28491,,cognitive_resilience,Cognitive Resilience,49,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-887f-c6fa-71d2a566d297
00000000-6a6a-59a3-8036-b6cb13d28492,,lifestyle_protection,Lifestyle Protection,63,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-887f-c6fa-71d2a566d297
00000000-6a6a-59a3-8036-b6cb13d2848c,,focus,Focus,45,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-887f-c6fa-71d2a566d297
00000000-6a6a-59a3-8036-b6cb13d2848f,,stress_regulation,Stress Regulation,33,moderate,stable,AQLA identified this domain as your primary performance bottleneck based on your assessment.,"[""Irregular sleep timing"", ""Low morning light exposure"", ""Late caffeine exposure""]",[],Follow your FLOW protocol for 14 days,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-887f-c6fa-71d2a566d297
00000000-6a69-06fa-36ad-ccbca89e3512,,focus,Focus,69,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-0685-9270-3d05559d1ac5
00000000-6a69-06fa-36ad-ccbca89e3513,,memory,Memory,61,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-0685-9270-3d05559d1ac5
00000000-6a69-06fa-36ad-ccbca89e3514,,mental_energy,Mental Energy,65,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-0685-9270-3d05559d1ac5
00000000-6a7c-3e0b-7370-6c99623f6378,,sleep_recovery,Sleep Recovery,72,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.43281+00:00,2026-08-17T01:11:17.43281+00:00,,,00000000-6a7c-3c86-776e-4c7809b327a8
00000000-6a6b-2134-0adf-fe87dcf162f5,,mental_energy,Mental Energy,52,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a67-0dff-96c4-6b62aaca0b7e
00000000-6a6b-2134-0adf-fe87dcf162f6,,stress_regulation,Stress Regulation,50,moderate,stable,AQLA identified this domain as your primary performance bottleneck based on your assessment.,"[""Irregular sleep timing"", ""Low morning light exposure"", ""Late caffeine exposure""]",[],Follow your FLOW protocol for 14 days,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a67-0dff-96c4-6b62aaca0b7e
00000000-6a6b-2134-0adf-fe87dcf162f9,,lifestyle_protection,Lifestyle Protection,60,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a67-0dff-96c4-6b62aaca0b7e
00000000-6a6b-2134-0adf-fe87dcf162f8,,cognitive_resilience,Cognitive Resilience,50,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a67-0dff-96c4-6b62aaca0b7e
00000000-6a6b-2134-0adf-fe87dcf162f7,,sleep_recovery,Sleep Recovery,69,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a67-0dff-96c4-6b62aaca0b7e
00000000-6a6b-2134-0adf-fe87dcf162f4,,memory,Memory,56,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a67-0dff-96c4-6b62aaca0b7e
00000000-6a6b-2134-0adf-fe87dcf162f3,,focus,Focus,70,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.643136+00:00,2026-08-17T01:11:17.643136+00:00,,,00000000-6a67-0dff-96c4-6b62aaca0b7e
00000000-6a69-06fa-36ad-ccbca89e3515,,stress_regulation,Stress Regulation,50,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-0685-9270-3d05559d1ac5
00000000-6a69-06fa-36ad-ccbca89e3516,,sleep_recovery,Sleep Recovery,64,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-0685-9270-3d05559d1ac5
00000000-6a69-06fa-36ad-ccbca89e3517,,cognitive_resilience,Cognitive Resilience,48,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],[],Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-0685-9270-3d05559d1ac5
00000000-6a69-06fa-36ad-ccbca89e3518,,lifestyle_protection,Lifestyle Protection,45,moderate,stable,AQLA identified this domain as your primary performance bottleneck based on your assessment.,"[""Irregular sleep timing"", ""Low morning light exposure"", ""Late caffeine exposure""]",[],Follow your RESET protocol for 14 days,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-0685-9270-3d05559d1ac5
00000000-6a69-06fa-36ad-ccbca89e3519,,learning_capacity,Learning Capacity,77,moderate,stable,Derived from your assessment responses. Confidence will improve with daily check-ins.,[],"[""Consistent self-reported patterns in this domain""]",Continue daily check-ins to refine this score,"[""Onboarding assessment""]",2026-08-17T01:11:17.843207+00:00,2026-08-17T01:11:17.843207+00:00,,,00000000-6a69-0685-9270-3d05559d1ac5
